imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt6324892,Taco Shop,Taco Shop,2018,2018-05-01,Comedy,85,USA,English,Joaquin Perea,"Rick Najera, Oskar Toruno",Streetwise Entertainment,"Tyler Posey, Rafael Agustin, Carlos Alazraqui, Dan Bakkedahl, Yeniffer Behrens, Parvesh Cheena, Simply Cookie, Veronica Diaz Carranza, Felipe Esparza, Mando Fresko, Laura Harring, Brian Huskey, Roopashree Jeevaji, Luis Victor Jimenez, T Lopez",A taco shop's business is jeopardized when a gourmet taco truck parks across the street and an all-out war ensues.,4.0,136,,,,,5.0,
tt6326184,Voyangkor Sundor,Voyangkor Sundor,2017,2017-08-04,Drama,114,Bangladesh,Bengali,Animesh Aich,"Moti Nandi, Animesh Aich",A Square Film Company,"Ashna Habib Bhabna, Parambrata Chattopadhyay, Faruk Ahmed, Shilpi Sharkar Apu, Nauha Munir Dihan, Lutfur Rahman George, Syed Hasan Imam, Farhana Mithu, Mahmudul Islam Mithu, Hindol Roy, Khairul Alam Sabuj, Kazi Shila, Allen Shubhro","Incidentally, an innocent couple Muku and Nayontara, lives in an area of Dhaka city where supply of drinking water is limited. In summer, water supply is ceased for a few days. Local ...",3.3,138,,,,,1.0,6.0
tt6327400,"52Hz, I Love You","52Hz, I Love You",2017,2017-01-26,"Comedy, Musical, Romance",109,Taiwan,"Mandarin, Min Nan",Te-Sheng Wei,"Soda Voyu, Te-Sheng Wei",ARS Film Production,"Chuan-Ying Chuang, Chung-Yu Lin, Mify Chen, Suming Rupi, Cyndi Chao, Nolay Piho, Sandrine Pinna, Chien-Na Lee, Ju-Lung Ma, Hsiao-Lan Pei, Van Fan, Chie Tanaka, Nien-Hsien Ma, Wei-min Ying, Min-Hsiung","This musical film incorporates a series of romantic stories with beautiful original songs. The stories are set in modern Taipei City, Taiwan, on Valentine's Day. The title is inspired by ...",6.0,404,,,$ 201172,,2.0,2.0
tt6327570,Suki ni naru sono shunkan o.: Kokuhaku jikkou iinkai,Suki ni naru sono shunkan o.: Kokuhaku jikkou iinkai,2016,2016-12-17,"Animation, Comedy, Drama",63,Japan,Japanese,,HoneyWorks,Qualia Animation,"Sora Amamiya, Momo Asakura, Kana Asumi, Natsuki Hanae, Yûki Kaji, Hiroshi Kamiya, Hikaru Midorikawa, Kenji Suzumura, Haruka Tomatsu, Aki Toyosaki, Nao Tôyama, Tsubasa Yonaga","Based on Vocaloid songs from ""Kokuhaku Jikko Iinkai ~Renai Series~"" by HoneyWorks, the movie is the second film based on the songs, following Tetsuya Yanagisawa's previous anime, ""Zutto Mae Kara Suki Deshita"".",5.9,291,,,,,,
tt6327784,Dos Veces Tú,Dos Veces Tú,2018,2020-02-21,"Drama, Fantasy, Mystery",95,Mexico,Spanish,Salomón Askenazi,Salomón Askenazi,Fosforescente,"Melissa Barrera, Anahi Davila, Daniel Adissi, Mariano Palacios, Aura C. Cervantes, Edrian Ilusionista, Sara Cohen Levy, Emily Askenazi Cohen, Tamara Fascovich, Menachem Gancz, Karla Garrido, Elizabeth Guindi, Mercedes Hernández, Alberto Lomnitz, Tania Olhovich","Tania and Daniela exchange husbands during a wedding just for fun, but a fatal accident will create new, strange relationships.",5.4,104,,,,,8.0,30.0
tt6328004,Secret Santa,Secret Santa,2018,2018-12-18,"Action, Comedy, Horror",89,USA,English,Adam Marcus,"Adam Marcus, Debra Sullivan",Distilled Media,"Michael Rady, Drew Lynch, Debra Sullivan, A Leslie Kies, Ryan Leigh Seaton, John Gilbert, Pat Destro, Nathan Hedrick, Michelle Renee Allaire, Curtis Fortier, Freddy John James, Petra Areskoug, Tracy Drolet, William Dixon, Scott Burkett","Christmas dinner brings tidings of death when someone enacts revenge, and out of the bloody madness rises a hero who must face all odds to stop an outbreak before it's too late.",5.1,675,,,,,35.0,34.0
tt6328182,Le rire de ma mère,Le rire de ma mère,2017,2018-01-17,Drama,96,"France, Belgium",French,"Pascal Ralite, Colombe Savignac","Pascal Ralite, Pascal Ralite",Loma Nasha Films,"Suzanne Clément, Igor van Dessel, Pascal Demolon, Sabrina Seyvecou, Mathis Bour, Salomé Larouquie, Carine May, Ludivine de Chastenet, Bertrand Combe, Carmen Ferland, Christian Drillaud, Marie Berto, Jean-Yves Chilot, Teïlo Azaïs, Stéphane Joseph-Rose",A young boy has to deal with increasing family and school pressures as his mother's disease worsens.,6.2,128,,,$ 117812,,2.0,3.0
tt6328242,A Simple Wedding,A Simple Wedding,2018,2020-02-14,"Comedy, Romance",88,USA,English,Sara Zandieh,"Sara Zandieh, Stephanie Wu",Mainstay Entertainment,"Houshang Touzie, Shohreh Aghdashloo, Nina Nayebi, Akbar Moazezi, Keon Alexander, Tara Grammy, Brandon Kyle Goodman, Rebecca Henderson, Aleque Reid, Reid Calvert, Shahla Khodakarami, Stefanie Black, Ryan-James Hatanaka, Angela Elayne Gibbs, Jaleh Modjallal",A young Iranian-American woman goes to great lengths to appease her parents and their need to see her settled down.,5.3,502,,$ 54415,$ 54415,,26.0,11.0
tt6329716,Jiu long bu bai,Jiu long bu bai,2019,2019-06-20,"Action, Adventure, Crime",85,Hong Kong,"Cantonese, English, Mandarin",Fruit Chan,"Fruit Chan, Kee-To Lam",Pegasus Motion Pictures,"Jin Zhang, Anderson Silva, Kevin Cheng, Annie Liu, Stephy Tang, JuJu Chan, Endy Chow, Suet Lam, Richard Ng, Chung-chi Cheung, Tsun-Hung Liu, Sheldon Lo, Carl Ng, Hugo Ng, Ziyang Zhou","The undercover agent with dragon tattoo Kowloon continually helped the police to solve mysterious cases, which made him known as a rising star. However, his impulsive personality dragged him into endless troubles.",5.3,542,$ 12000000,,$ 2869666,,13.0,14.0
tt6329870,Loot 2,Loot 2,2017,2017-02-24,"Action, Crime, Drama",130,Nepal,Nepali,Nischal Basnet,Nischal Basnet,Princess Movies and Black Horse Pictures,"Saugat Malla, Dayahang Rai, Karma Shakya, Bipin Karki, Prateek Raj Neupane, Sushil Raj Pandey, Praween Khatiwada, Reecha Sharma, Kameshwor Chaurasiya, Alisha Rai, Srijana Subba, Sarita Shah, Sushil Uprety, Aangha Dhwaj Khadka","The 4 gang members, who were framed in the bank robbery, now escape from the prison. While they look for revenge with Haku Kale, Haku has his own plan of robbing next bank.",6.2,172,,,$ 41318,,10.0,7.0
